buyer_name,buyer_id,company_name,industry,city,state,phone,company_domain,website,company_linkedin,employee_count,estimated_revenue,founded_year,description,owner_name,owner_title,owner_linkedin,owner_email,connection_request,inmail,linkedin_search_url,status,outreach_sent_date,seller_responded,seller_interested,response_notes,next_action,source,date_added
Magus and Abraxas,magus_abraxas,Bemis Center for Contemporary Arts,aerospace,Omaha,NE,+14023417130,,,,,,,,,,,,Hi there — I work with PE groups acquiring aerospace & defense manufacturers. Would love to connect and discuss what we're seeing.,"Hi there,

I'm Jordi Quevedo-Valls, and I represent buyers specifically focused on aerospace and defense manufacturers.

We have a buyer actively looking for businesses like Bemis Center for Contemporary Arts — they're experienced in the space, well-capitalized, and serious about the right acquisition.

If you've ever thought about your exit timeline, now might be a great time to understand your options. I'd welcome a brief confidential conversation.

Would 15 minutes work this week?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Bemis%20Center%20for%20Contemporary%20Arts%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Magus and Abraxas,magus_abraxas,The Game Shoppe,aerospace,Omaha,NE,+14029918699,,,,,,,,,,,,Hi there — I work with PE groups acquiring aerospace & defense manufacturers. Would love to connect and discuss what we're seeing.,"Hi there,

I'm Jordi Quevedo-Valls, and I represent buyers specifically focused on aerospace and defense manufacturers.

We have a buyer actively looking for businesses like The Game Shoppe — they're experienced in the space, well-capitalized, and serious about the right acquisition.

If you've ever thought about your exit timeline, now might be a great time to understand your options. I'd welcome a brief confidential conversation.

Would 15 minutes work this week?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22The%20Game%20Shoppe%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Magus and Abraxas,magus_abraxas,Country Drive Live,aerospace,Ashland,NE,+14029442333,,,,,,,,,,,,Hi there — I work with PE groups acquiring aerospace & defense manufacturers. Would love to connect and discuss what we're seeing.,"Hi there,

I'm Jordi Quevedo-Valls, and I represent buyers specifically focused on aerospace and defense manufacturers.

We have a buyer actively looking for businesses like Country Drive Live — they're experienced in the space, well-capitalized, and serious about the right acquisition.

If you've ever thought about your exit timeline, now might be a great time to understand your options. I'd welcome a brief confidential conversation.

Would 15 minutes work this week?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Country%20Drive%20Live%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Magus and Abraxas,magus_abraxas,Kiewit Luminarium,aerospace,Omaha,NE,,,,,,,,,,,,,Hi there — I work with PE groups acquiring aerospace & defense manufacturers. Would love to connect and discuss what we're seeing.,"Hi there,

I'm Jordi Quevedo-Valls, and I represent buyers specifically focused on aerospace and defense manufacturers.

We have a buyer actively looking for businesses like Kiewit Luminarium — they're experienced in the space, well-capitalized, and serious about the right acquisition.

If you've ever thought about your exit timeline, now might be a great time to understand your options. I'd welcome a brief confidential conversation.

Would 15 minutes work this week?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Kiewit%20Luminarium%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Magus and Abraxas,magus_abraxas,Omaha Culinary Tours,aerospace,Omaha,NE,+14026510047,,,,,,,,,,,,Hi there — I work with PE groups acquiring aerospace & defense manufacturers. Would love to connect and discuss what we're seeing.,"Hi there,

I'm Jordi Quevedo-Valls, and I represent buyers specifically focused on aerospace and defense manufacturers.

We have a buyer actively looking for businesses like Omaha Culinary Tours — they're experienced in the space, well-capitalized, and serious about the right acquisition.

If you've ever thought about your exit timeline, now might be a great time to understand your options. I'd welcome a brief confidential conversation.

Would 15 minutes work this week?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Omaha%20Culinary%20Tours%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Magus and Abraxas,magus_abraxas,The Durham Museum,aerospace,Omaha,NE,+14024445071,,,,,,,,,,,,Hi there — I work with PE groups acquiring aerospace & defense manufacturers. Would love to connect and discuss what we're seeing.,"Hi there,

I'm Jordi Quevedo-Valls, and I represent buyers specifically focused on aerospace and defense manufacturers.

We have a buyer actively looking for businesses like The Durham Museum — they're experienced in the space, well-capitalized, and serious about the right acquisition.

If you've ever thought about your exit timeline, now might be a great time to understand your options. I'd welcome a brief confidential conversation.

Would 15 minutes work this week?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22The%20Durham%20Museum%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Magus and Abraxas,magus_abraxas,Strategic Air Command & Aerospace Museum,aerospace,Ashland,NE,+14029443100,,,,,,,,,,,,Hi there — I work with PE groups acquiring aerospace & defense manufacturers. Would love to connect and discuss what we're seeing.,"Hi there,

I'm Jordi Quevedo-Valls, and I represent buyers specifically focused on aerospace and defense manufacturers.

We have a buyer actively looking for businesses like Strategic Air Command & Aerospace Museum — they're experienced in the space, well-capitalized, and serious about the right acquisition.

If you've ever thought about your exit timeline, now might be a great time to understand your options. I'd welcome a brief confidential conversation.

Would 15 minutes work this week?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Strategic%20Air%20Command%20%26%20Aerospace%20Museum%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Magus and Abraxas,magus_abraxas,Thompson Dreesen & Dorner,aerospace,Omaha,NE,+14023308860,,,,,,,,,,,,Hi there — I work with PE groups acquiring aerospace & defense manufacturers. Would love to connect and discuss what we're seeing.,"Hi there,

I'm Jordi Quevedo-Valls, and I represent buyers specifically focused on aerospace and defense manufacturers.

We have a buyer actively looking for businesses like Thompson Dreesen & Dorner — they're experienced in the space, well-capitalized, and serious about the right acquisition.

If you've ever thought about your exit timeline, now might be a great time to understand your options. I'd welcome a brief confidential conversation.

Would 15 minutes work this week?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Thompson%20Dreesen%20%26%20Dorner%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Magus and Abraxas,magus_abraxas,Omaha Children's Museum,aerospace,Omaha,NE,+14023426164,,,,,,,,,,,,Hi there — I work with PE groups acquiring aerospace & defense manufacturers. Would love to connect and discuss what we're seeing.,"Hi there,

I'm Jordi Quevedo-Valls, and I represent buyers specifically focused on aerospace and defense manufacturers.

We have a buyer actively looking for businesses like Omaha Children's Museum — they're experienced in the space, well-capitalized, and serious about the right acquisition.

If you've ever thought about your exit timeline, now might be a great time to understand your options. I'd welcome a brief confidential conversation.

Would 15 minutes work this week?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Omaha%20Children%27s%20Museum%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Magus and Abraxas,magus_abraxas,Glacial Till Cider House & Tasting Room,aerospace,Ashland,NE,+14029442546,,,,,,,,,,,,Hi there — I work with PE groups acquiring aerospace & defense manufacturers. Would love to connect and discuss what we're seeing.,"Hi there,

I'm Jordi Quevedo-Valls, and I represent buyers specifically focused on aerospace and defense manufacturers.

We have a buyer actively looking for businesses like Glacial Till Cider House & Tasting Room — they're experienced in the space, well-capitalized, and serious about the right acquisition.

If you've ever thought about your exit timeline, now might be a great time to understand your options. I'd welcome a brief confidential conversation.

Would 15 minutes work this week?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Glacial%20Till%20Cider%20House%20%26%20Tasting%20Room%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
