buyer_name,buyer_id,company_name,industry,city,state,phone,company_domain,website,company_linkedin,employee_count,estimated_revenue,founded_year,description,owner_name,owner_title,owner_linkedin,owner_email,connection_request,inmail,linkedin_search_url,status,outreach_sent_date,seller_responded,seller_interested,response_notes,next_action,source,date_added
Alon Debbi / Argon Equity,alon_debbi,Electrical Masters,home services,Miami,FL,+17862867815,,,,,,,,,,,,Hi there — we represent buyers specifically looking for home services businesses in FL. Curious if you've ever thought about your exit options. Happy to connect.,"Hi there,

My name is Jordi Quevedo-Valls and I represent pre-qualified buyers actively acquiring home services businesses across FL.

I came across Electrical Masters and wanted to reach out directly — we have a buyer specifically looking for established businesses like yours. They're serious, funded, and can close without bank financing.

Even if you're not actively thinking about selling right now, many business owners find it valuable to understand what their business is worth and what a transition could look like — with no obligation.

Would you be open to a 15-minute confidential conversation to explore?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Electrical%20Masters%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Alon Debbi / Argon Equity,alon_debbi,Pilar Services,home services,Doral,FL,+13058882421,,,,,,,,,,,,Hi there — we represent buyers specifically looking for home services businesses in FL. Curious if you've ever thought about your exit options. Happy to connect.,"Hi there,

My name is Jordi Quevedo-Valls and I represent pre-qualified buyers actively acquiring home services businesses across FL.

I came across Pilar Services and wanted to reach out directly — we have a buyer specifically looking for established businesses like yours. They're serious, funded, and can close without bank financing.

Even if you're not actively thinking about selling right now, many business owners find it valuable to understand what their business is worth and what a transition could look like — with no obligation.

Would you be open to a 15-minute confidential conversation to explore?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Pilar%20Services%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Alon Debbi / Argon Equity,alon_debbi,BioShield Sanitation,home services,Miami,FL,+18006683915,,,,,,,,,,,,Hi there — we represent buyers specifically looking for home services businesses in FL. Curious if you've ever thought about your exit options. Happy to connect.,"Hi there,

My name is Jordi Quevedo-Valls and I represent pre-qualified buyers actively acquiring home services businesses across FL.

I came across BioShield Sanitation and wanted to reach out directly — we have a buyer specifically looking for established businesses like yours. They're serious, funded, and can close without bank financing.

Even if you're not actively thinking about selling right now, many business owners find it valuable to understand what their business is worth and what a transition could look like — with no obligation.

Would you be open to a 15-minute confidential conversation to explore?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22BioShield%20Sanitation%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Alon Debbi / Argon Equity,alon_debbi,Handyman 4 You,home services,Miami,FL,+17475291488,,,,,,,,,,,,Hi there — we represent buyers specifically looking for home services businesses in FL. Curious if you've ever thought about your exit options. Happy to connect.,"Hi there,

My name is Jordi Quevedo-Valls and I represent pre-qualified buyers actively acquiring home services businesses across FL.

I came across Handyman 4 You and wanted to reach out directly — we have a buyer specifically looking for established businesses like yours. They're serious, funded, and can close without bank financing.

Even if you're not actively thinking about selling right now, many business owners find it valuable to understand what their business is worth and what a transition could look like — with no obligation.

Would you be open to a 15-minute confidential conversation to explore?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Handyman%204%20You%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Alon Debbi / Argon Equity,alon_debbi,Patricia Henenfeld-RelatedISG International Realty,home services,Miami Beach,FL,+13057858993,,,,,,,,,,,,Hi there — we represent buyers specifically looking for home services businesses in FL. Curious if you've ever thought about your exit options. Happy to connect.,"Hi there,

My name is Jordi Quevedo-Valls and I represent pre-qualified buyers actively acquiring home services businesses across FL.

I came across Patricia Henenfeld-RelatedISG International Realty and wanted to reach out directly — we have a buyer specifically looking for established businesses like yours. They're serious, funded, and can close without bank financing.

Even if you're not actively thinking about selling right now, many business owners find it valuable to understand what their business is worth and what a transition could look like — with no obligation.

Would you be open to a 15-minute confidential conversation to explore?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Patricia%20Henenfeld-RelatedISG%20International%20Realty%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Alon Debbi / Argon Equity,alon_debbi,Well Electric Technology,home services,Miami,FL,+17863999180,,,,,,,,,,,,Hi there — we represent buyers specifically looking for home services businesses in FL. Curious if you've ever thought about your exit options. Happy to connect.,"Hi there,

My name is Jordi Quevedo-Valls and I represent pre-qualified buyers actively acquiring home services businesses across FL.

I came across Well Electric Technology and wanted to reach out directly — we have a buyer specifically looking for established businesses like yours. They're serious, funded, and can close without bank financing.

Even if you're not actively thinking about selling right now, many business owners find it valuable to understand what their business is worth and what a transition could look like — with no obligation.

Would you be open to a 15-minute confidential conversation to explore?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Well%20Electric%20Technology%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Alon Debbi / Argon Equity,alon_debbi,Tusson,home services,Miami,FL,+13055489670,,,,,,,,,,,,Hi there — we represent buyers specifically looking for home services businesses in FL. Curious if you've ever thought about your exit options. Happy to connect.,"Hi there,

My name is Jordi Quevedo-Valls and I represent pre-qualified buyers actively acquiring home services businesses across FL.

I came across Tusson and wanted to reach out directly — we have a buyer specifically looking for established businesses like yours. They're serious, funded, and can close without bank financing.

Even if you're not actively thinking about selling right now, many business owners find it valuable to understand what their business is worth and what a transition could look like — with no obligation.

Would you be open to a 15-minute confidential conversation to explore?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Tusson%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Alon Debbi / Argon Equity,alon_debbi,CNC Brothers Millings and Cut Services,home services,Hialeah,FL,+17863592760,,,,,,,,,,,,Hi there — we represent buyers specifically looking for home services businesses in FL. Curious if you've ever thought about your exit options. Happy to connect.,"Hi there,

My name is Jordi Quevedo-Valls and I represent pre-qualified buyers actively acquiring home services businesses across FL.

I came across CNC Brothers Millings and Cut Services and wanted to reach out directly — we have a buyer specifically looking for established businesses like yours. They're serious, funded, and can close without bank financing.

Even if you're not actively thinking about selling right now, many business owners find it valuable to understand what their business is worth and what a transition could look like — with no obligation.

Would you be open to a 15-minute confidential conversation to explore?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22CNC%20Brothers%20Millings%20and%20Cut%20Services%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Alon Debbi / Argon Equity,alon_debbi,A1 Southeast Moving,home services,Doral,FL,+13054859098,,,,,,,,,,,,Hi there — we represent buyers specifically looking for home services businesses in FL. Curious if you've ever thought about your exit options. Happy to connect.,"Hi there,

My name is Jordi Quevedo-Valls and I represent pre-qualified buyers actively acquiring home services businesses across FL.

I came across A1 Southeast Moving and wanted to reach out directly — we have a buyer specifically looking for established businesses like yours. They're serious, funded, and can close without bank financing.

Even if you're not actively thinking about selling right now, many business owners find it valuable to understand what their business is worth and what a transition could look like — with no obligation.

Would you be open to a 15-minute confidential conversation to explore?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22A1%20Southeast%20Moving%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Alon Debbi / Argon Equity,alon_debbi,Suds Domestic Services,home services,Miami,FL,+13052336707,,,,,,,,,,,,Hi there — we represent buyers specifically looking for home services businesses in FL. Curious if you've ever thought about your exit options. Happy to connect.,"Hi there,

My name is Jordi Quevedo-Valls and I represent pre-qualified buyers actively acquiring home services businesses across FL.

I came across Suds Domestic Services and wanted to reach out directly — we have a buyer specifically looking for established businesses like yours. They're serious, funded, and can close without bank financing.

Even if you're not actively thinking about selling right now, many business owners find it valuable to understand what their business is worth and what a transition could look like — with no obligation.

Would you be open to a 15-minute confidential conversation to explore?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Suds%20Domestic%20Services%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
