buyer_name,buyer_id,company_name,industry,city,state,phone,company_domain,website,company_linkedin,employee_count,estimated_revenue,founded_year,description,owner_name,owner_title,owner_linkedin,owner_email,connection_request,inmail,linkedin_search_url,status,outreach_sent_date,seller_responded,seller_interested,response_notes,next_action,source,date_added
Burda Ventures,burda_ventures,Dimensional Iron,manufacturing,Fairfield,CA,+17073078187,,,,,,,,,,,,Hi there — I work with private equity groups actively acquiring manufacturing businesses in CA. Would love to connect and share what we're seeing in the market.,"Hi there,

I hope this finds you well. My name is Jordi Quevedo-Valls — I'm a business broker who works exclusively with serious, pre-qualified buyers looking to acquire manufacturing businesses.

I came across Dimensional Iron and I'm reaching out because we currently represent a buyer specifically looking for manufacturing operations in CA with your profile — they're capitalized, experienced, and ready to move.

I want to be upfront: I'm not here to pressure you into anything. A lot of business owners I connect with aren't actively looking to sell, but are open to understanding what their business is worth in today's market — especially with PE multiples where they are right now.

If you're at all curious about:
• What your business might be worth today
• What a sale/transition could look like
• Whether there's a buyer who'd be the right fit

I'd love to have a 15-minute confidential call.

Would you be open to a quick conversation this week?

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Dimensional%20Iron%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Burda Ventures,burda_ventures,The Higher Consciousness,manufacturing,San Francisco,CA,+14155807083,,,,,,,,,,,,Hi there — I work with private equity groups actively acquiring manufacturing businesses in CA. Would love to connect and share what we're seeing in the market.,"Hi there,

I hope this finds you well. My name is Jordi Quevedo-Valls — I'm a business broker who works exclusively with serious, pre-qualified buyers looking to acquire manufacturing businesses.

I came across The Higher Consciousness and I'm reaching out because we currently represent a buyer specifically looking for manufacturing operations in CA with your profile — they're capitalized, experienced, and ready to move.

I want to be upfront: I'm not here to pressure you into anything. A lot of business owners I connect with aren't actively looking to sell, but are open to understanding what their business is worth in today's market — especially with PE multiples where they are right now.

If you're at all curious about:
• What your business might be worth today
• What a sale/transition could look like
• Whether there's a buyer who'd be the right fit

I'd love to have a 15-minute confidential call.

Would you be open to a quick conversation this week?

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22The%20Higher%20Consciousness%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Burda Ventures,burda_ventures,Excalibur Water Heaters,manufacturing,San Francisco ,CA,+14157255445,,,,,,,,,,,,Hi there — I work with private equity groups actively acquiring manufacturing businesses in CA. Would love to connect and share what we're seeing in the market.,"Hi there,

I hope this finds you well. My name is Jordi Quevedo-Valls — I'm a business broker who works exclusively with serious, pre-qualified buyers looking to acquire manufacturing businesses.

I came across Excalibur Water Heaters and I'm reaching out because we currently represent a buyer specifically looking for manufacturing operations in CA with your profile — they're capitalized, experienced, and ready to move.

I want to be upfront: I'm not here to pressure you into anything. A lot of business owners I connect with aren't actively looking to sell, but are open to understanding what their business is worth in today's market — especially with PE multiples where they are right now.

If you're at all curious about:
• What your business might be worth today
• What a sale/transition could look like
• Whether there's a buyer who'd be the right fit

I'd love to have a 15-minute confidential call.

Would you be open to a quick conversation this week?

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Excalibur%20Water%20Heaters%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Burda Ventures,burda_ventures,Resolute Iron Works,manufacturing,Hayward,CA,+15104225430,,,,,,,,,,,,Hi there — I work with private equity groups actively acquiring manufacturing businesses in CA. Would love to connect and share what we're seeing in the market.,"Hi there,

I hope this finds you well. My name is Jordi Quevedo-Valls — I'm a business broker who works exclusively with serious, pre-qualified buyers looking to acquire manufacturing businesses.

I came across Resolute Iron Works and I'm reaching out because we currently represent a buyer specifically looking for manufacturing operations in CA with your profile — they're capitalized, experienced, and ready to move.

I want to be upfront: I'm not here to pressure you into anything. A lot of business owners I connect with aren't actively looking to sell, but are open to understanding what their business is worth in today's market — especially with PE multiples where they are right now.

If you're at all curious about:
• What your business might be worth today
• What a sale/transition could look like
• Whether there's a buyer who'd be the right fit

I'd love to have a 15-minute confidential call.

Would you be open to a quick conversation this week?

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Resolute%20Iron%20Works%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Burda Ventures,burda_ventures,Sofa U Love,manufacturing,San Francisco,CA,+14157712878,,,,,,,,,,,,Hi there — I work with private equity groups actively acquiring manufacturing businesses in CA. Would love to connect and share what we're seeing in the market.,"Hi there,

I hope this finds you well. My name is Jordi Quevedo-Valls — I'm a business broker who works exclusively with serious, pre-qualified buyers looking to acquire manufacturing businesses.

I came across Sofa U Love and I'm reaching out because we currently represent a buyer specifically looking for manufacturing operations in CA with your profile — they're capitalized, experienced, and ready to move.

I want to be upfront: I'm not here to pressure you into anything. A lot of business owners I connect with aren't actively looking to sell, but are open to understanding what their business is worth in today's market — especially with PE multiples where they are right now.

If you're at all curious about:
• What your business might be worth today
• What a sale/transition could look like
• Whether there's a buyer who'd be the right fit

I'd love to have a 15-minute confidential call.

Would you be open to a quick conversation this week?

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Sofa%20U%20Love%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Burda Ventures,burda_ventures,Metro Appliance Repair,manufacturing,San Francisco,CA,+14159401308,,,,,,,,,,,,Hi there — I work with private equity groups actively acquiring manufacturing businesses in CA. Would love to connect and share what we're seeing in the market.,"Hi there,

I hope this finds you well. My name is Jordi Quevedo-Valls — I'm a business broker who works exclusively with serious, pre-qualified buyers looking to acquire manufacturing businesses.

I came across Metro Appliance Repair and I'm reaching out because we currently represent a buyer specifically looking for manufacturing operations in CA with your profile — they're capitalized, experienced, and ready to move.

I want to be upfront: I'm not here to pressure you into anything. A lot of business owners I connect with aren't actively looking to sell, but are open to understanding what their business is worth in today's market — especially with PE multiples where they are right now.

If you're at all curious about:
• What your business might be worth today
• What a sale/transition could look like
• Whether there's a buyer who'd be the right fit

I'd love to have a 15-minute confidential call.

Would you be open to a quick conversation this week?

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Metro%20Appliance%20Repair%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Burda Ventures,burda_ventures,AlphaGraphics SF Mission,manufacturing,San Francisco,CA,+14158211898,,,,,,,,,,,,Hi there — I work with private equity groups actively acquiring manufacturing businesses in CA. Would love to connect and share what we're seeing in the market.,"Hi there,

I hope this finds you well. My name is Jordi Quevedo-Valls — I'm a business broker who works exclusively with serious, pre-qualified buyers looking to acquire manufacturing businesses.

I came across AlphaGraphics SF Mission and I'm reaching out because we currently represent a buyer specifically looking for manufacturing operations in CA with your profile — they're capitalized, experienced, and ready to move.

I want to be upfront: I'm not here to pressure you into anything. A lot of business owners I connect with aren't actively looking to sell, but are open to understanding what their business is worth in today's market — especially with PE multiples where they are right now.

If you're at all curious about:
• What your business might be worth today
• What a sale/transition could look like
• Whether there's a buyer who'd be the right fit

I'd love to have a 15-minute confidential call.

Would you be open to a quick conversation this week?

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22AlphaGraphics%20SF%20Mission%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Burda Ventures,burda_ventures,Stoneside Blinds & Shades San Francisco,manufacturing,San Francisco,CA,+14155392302,,,,,,,,,,,,Hi there — I work with private equity groups actively acquiring manufacturing businesses in CA. Would love to connect and share what we're seeing in the market.,"Hi there,

I hope this finds you well. My name is Jordi Quevedo-Valls — I'm a business broker who works exclusively with serious, pre-qualified buyers looking to acquire manufacturing businesses.

I came across Stoneside Blinds & Shades San Francisco and I'm reaching out because we currently represent a buyer specifically looking for manufacturing operations in CA with your profile — they're capitalized, experienced, and ready to move.

I want to be upfront: I'm not here to pressure you into anything. A lot of business owners I connect with aren't actively looking to sell, but are open to understanding what their business is worth in today's market — especially with PE multiples where they are right now.

If you're at all curious about:
• What your business might be worth today
• What a sale/transition could look like
• Whether there's a buyer who'd be the right fit

I'd love to have a 15-minute confidential call.

Would you be open to a quick conversation this week?

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Stoneside%20Blinds%20%26%20Shades%20San%20Francisco%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Burda Ventures,burda_ventures,Window Film Specialist,manufacturing,Piedmont,CA,+15103160445,,,,,,,,,,,,Hi there — I work with private equity groups actively acquiring manufacturing businesses in CA. Would love to connect and share what we're seeing in the market.,"Hi there,

I hope this finds you well. My name is Jordi Quevedo-Valls — I'm a business broker who works exclusively with serious, pre-qualified buyers looking to acquire manufacturing businesses.

I came across Window Film Specialist and I'm reaching out because we currently represent a buyer specifically looking for manufacturing operations in CA with your profile — they're capitalized, experienced, and ready to move.

I want to be upfront: I'm not here to pressure you into anything. A lot of business owners I connect with aren't actively looking to sell, but are open to understanding what their business is worth in today's market — especially with PE multiples where they are right now.

If you're at all curious about:
• What your business might be worth today
• What a sale/transition could look like
• Whether there's a buyer who'd be the right fit

I'd love to have a 15-minute confidential call.

Would you be open to a quick conversation this week?

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Window%20Film%20Specialist%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Burda Ventures,burda_ventures,Kartell,manufacturing,San Francisco,CA,+14155657200,,,,,,,,,,,,Hi there — I work with private equity groups actively acquiring manufacturing businesses in CA. Would love to connect and share what we're seeing in the market.,"Hi there,

I hope this finds you well. My name is Jordi Quevedo-Valls — I'm a business broker who works exclusively with serious, pre-qualified buyers looking to acquire manufacturing businesses.

I came across Kartell and I'm reaching out because we currently represent a buyer specifically looking for manufacturing operations in CA with your profile — they're capitalized, experienced, and ready to move.

I want to be upfront: I'm not here to pressure you into anything. A lot of business owners I connect with aren't actively looking to sell, but are open to understanding what their business is worth in today's market — especially with PE multiples where they are right now.

If you're at all curious about:
• What your business might be worth today
• What a sale/transition could look like
• Whether there's a buyer who'd be the right fit

I'd love to have a 15-minute confidential call.

Would you be open to a quick conversation this week?

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Kartell%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
