buyer_name,buyer_id,company_name,industry,city,state,phone,company_domain,website,company_linkedin,employee_count,estimated_revenue,founded_year,description,owner_name,owner_title,owner_linkedin,owner_email,connection_request,inmail,linkedin_search_url,status,outreach_sent_date,seller_responded,seller_interested,response_notes,next_action,source,date_added
Castle Pines Capital Partners,castle_pines,San Francisco Janitorial Services,services,San Francisco,CA,+14154130200,,,,,,,,,,,,Hi there — we represent buyers specifically looking for services businesses in CA. Curious if you've ever thought about your exit options. Happy to connect.,"Hi there,

My name is Jordi Quevedo-Valls and I represent pre-qualified buyers actively acquiring home services businesses across CA.

I came across San Francisco Janitorial Services and wanted to reach out directly — we have a buyer specifically looking for established businesses like yours. They're serious, funded, and can close without bank financing.

Even if you're not actively thinking about selling right now, many business owners find it valuable to understand what their business is worth and what a transition could look like — with no obligation.

Would you be open to a 15-minute confidential conversation to explore?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22San%20Francisco%20Janitorial%20Services%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Castle Pines Capital Partners,castle_pines,Rug Masters,services,San Francisco,CA,+14152824400,,,,,,,,,,,,Hi there — we represent buyers specifically looking for services businesses in CA. Curious if you've ever thought about your exit options. Happy to connect.,"Hi there,

My name is Jordi Quevedo-Valls and I represent pre-qualified buyers actively acquiring home services businesses across CA.

I came across Rug Masters and wanted to reach out directly — we have a buyer specifically looking for established businesses like yours. They're serious, funded, and can close without bank financing.

Even if you're not actively thinking about selling right now, many business owners find it valuable to understand what their business is worth and what a transition could look like — with no obligation.

Would you be open to a 15-minute confidential conversation to explore?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Rug%20Masters%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Castle Pines Capital Partners,castle_pines,Pipe-Thru Trenchless Plumbing,services,San Jose,CA,+14083947910,,,,,,,,,,,,Hi there — we represent buyers specifically looking for services businesses in CA. Curious if you've ever thought about your exit options. Happy to connect.,"Hi there,

My name is Jordi Quevedo-Valls and I represent pre-qualified buyers actively acquiring home services businesses across CA.

I came across Pipe-Thru Trenchless Plumbing and wanted to reach out directly — we have a buyer specifically looking for established businesses like yours. They're serious, funded, and can close without bank financing.

Even if you're not actively thinking about selling right now, many business owners find it valuable to understand what their business is worth and what a transition could look like — with no obligation.

Would you be open to a 15-minute confidential conversation to explore?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Pipe-Thru%20Trenchless%20Plumbing%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Castle Pines Capital Partners,castle_pines,JMV Tree Service,services,Hayward,CA,+15106665402,,,,,,,,,,,,Hi there — we represent buyers specifically looking for services businesses in CA. Curious if you've ever thought about your exit options. Happy to connect.,"Hi there,

My name is Jordi Quevedo-Valls and I represent pre-qualified buyers actively acquiring home services businesses across CA.

I came across JMV Tree Service and wanted to reach out directly — we have a buyer specifically looking for established businesses like yours. They're serious, funded, and can close without bank financing.

Even if you're not actively thinking about selling right now, many business owners find it valuable to understand what their business is worth and what a transition could look like — with no obligation.

Would you be open to a 15-minute confidential conversation to explore?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22JMV%20Tree%20Service%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Castle Pines Capital Partners,castle_pines,San Francisco Bay Window Cleaning,services,San Francisco,CA,+14152441242,,,,,,,,,,,,Hi there — we represent buyers specifically looking for services businesses in CA. Curious if you've ever thought about your exit options. Happy to connect.,"Hi there,

My name is Jordi Quevedo-Valls and I represent pre-qualified buyers actively acquiring home services businesses across CA.

I came across San Francisco Bay Window Cleaning and wanted to reach out directly — we have a buyer specifically looking for established businesses like yours. They're serious, funded, and can close without bank financing.

Even if you're not actively thinking about selling right now, many business owners find it valuable to understand what their business is worth and what a transition could look like — with no obligation.

Would you be open to a 15-minute confidential conversation to explore?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22San%20Francisco%20Bay%20Window%20Cleaning%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Castle Pines Capital Partners,castle_pines,ALL DUCT & VENT CLEANING,services,San Mateo,CA,+15107782211,,,,,,,,,,,,Hi there — we represent buyers specifically looking for services businesses in CA. Curious if you've ever thought about your exit options. Happy to connect.,"Hi there,

My name is Jordi Quevedo-Valls and I represent pre-qualified buyers actively acquiring home services businesses across CA.

I came across ALL DUCT & VENT CLEANING and wanted to reach out directly — we have a buyer specifically looking for established businesses like yours. They're serious, funded, and can close without bank financing.

Even if you're not actively thinking about selling right now, many business owners find it valuable to understand what their business is worth and what a transition could look like — with no obligation.

Would you be open to a 15-minute confidential conversation to explore?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22ALL%20DUCT%20%26%20VENT%20CLEANING%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Castle Pines Capital Partners,castle_pines,Bay Area Pro Washers,services,San Francisco,CA,+14152286466,,,,,,,,,,,,Hi there — we represent buyers specifically looking for services businesses in CA. Curious if you've ever thought about your exit options. Happy to connect.,"Hi there,

My name is Jordi Quevedo-Valls and I represent pre-qualified buyers actively acquiring home services businesses across CA.

I came across Bay Area Pro Washers and wanted to reach out directly — we have a buyer specifically looking for established businesses like yours. They're serious, funded, and can close without bank financing.

Even if you're not actively thinking about selling right now, many business owners find it valuable to understand what their business is worth and what a transition could look like — with no obligation.

Would you be open to a 15-minute confidential conversation to explore?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Bay%20Area%20Pro%20Washers%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Castle Pines Capital Partners,castle_pines,Aldo Demolition & Excavation,services,San Francisco,CA,+14153683150,,,,,,,,,,,,Hi there — we represent buyers specifically looking for services businesses in CA. Curious if you've ever thought about your exit options. Happy to connect.,"Hi there,

My name is Jordi Quevedo-Valls and I represent pre-qualified buyers actively acquiring home services businesses across CA.

I came across Aldo Demolition & Excavation and wanted to reach out directly — we have a buyer specifically looking for established businesses like yours. They're serious, funded, and can close without bank financing.

Even if you're not actively thinking about selling right now, many business owners find it valuable to understand what their business is worth and what a transition could look like — with no obligation.

Would you be open to a 15-minute confidential conversation to explore?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Aldo%20Demolition%20%26%20Excavation%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Castle Pines Capital Partners,castle_pines,Julian’s Tree Care,services,San Francisco,CA,+14152594848,,,,,,,,,,,,Hi there — we represent buyers specifically looking for services businesses in CA. Curious if you've ever thought about your exit options. Happy to connect.,"Hi there,

My name is Jordi Quevedo-Valls and I represent pre-qualified buyers actively acquiring home services businesses across CA.

I came across Julian’s Tree Care and wanted to reach out directly — we have a buyer specifically looking for established businesses like yours. They're serious, funded, and can close without bank financing.

Even if you're not actively thinking about selling right now, many business owners find it valuable to understand what their business is worth and what a transition could look like — with no obligation.

Would you be open to a 15-minute confidential conversation to explore?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Julian%E2%80%99s%20Tree%20Care%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Castle Pines Capital Partners,castle_pines,Baywide Services,services,San Francisco,CA,+14158282392,,,,,,,,,,,,Hi there — we represent buyers specifically looking for services businesses in CA. Curious if you've ever thought about your exit options. Happy to connect.,"Hi there,

My name is Jordi Quevedo-Valls and I represent pre-qualified buyers actively acquiring home services businesses across CA.

I came across Baywide Services and wanted to reach out directly — we have a buyer specifically looking for established businesses like yours. They're serious, funded, and can close without bank financing.

Even if you're not actively thinking about selling right now, many business owners find it valuable to understand what their business is worth and what a transition could look like — with no obligation.

Would you be open to a 15-minute confidential conversation to explore?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Baywide%20Services%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
