buyer_name,buyer_id,company_name,industry,city,state,phone,company_domain,website,company_linkedin,employee_count,estimated_revenue,founded_year,description,owner_name,owner_title,owner_linkedin,owner_email,connection_request,inmail,linkedin_search_url,status,outreach_sent_date,seller_responded,seller_interested,response_notes,next_action,source,date_added
Cicada Fund,cicada_fund,Dollar General,general,Miami,FL,+17866334430,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like Dollar General. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like Dollar General.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Dollar%20General%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Cicada Fund,cicada_fund,JM General Contractor,general,Miami,FL,+17868195265,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like JM General Contractor. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like JM General Contractor.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22JM%20General%20Contractor%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Cicada Fund,cicada_fund,KGT General Solutions,general,Miami,FL,+17866857362,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like KGT General Solutions. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like KGT General Solutions.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22KGT%20General%20Solutions%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Cicada Fund,cicada_fund,Consulate General of Peru,general,Miami,FL,+17867132400,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like Consulate General of Peru. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like Consulate General of Peru.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Consulate%20General%20of%20Peru%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Cicada Fund,cicada_fund,EZ General Contractor,general,Miami,FL,+17864125710,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like EZ General Contractor. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like EZ General Contractor.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22EZ%20General%20Contractor%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Cicada Fund,cicada_fund,General Farms Holdings,general,Miami,FL,+13052627459,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like General Farms Holdings. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like General Farms Holdings.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22General%20Farms%20Holdings%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Cicada Fund,cicada_fund,General Woodwork,general,Miami,FL,+13052642863,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like General Woodwork. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like General Woodwork.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22General%20Woodwork%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Cicada Fund,cicada_fund,YMT General Construction,general,Miami,FL,,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like YMT General Construction. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like YMT General Construction.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22YMT%20General%20Construction%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Cicada Fund,cicada_fund,Sono Care General,general,Miami,FL,+13052667500,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like Sono Care General. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like Sono Care General.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Sono%20Care%20General%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Cicada Fund,cicada_fund,The General Public,general,Houston,TX,+18326904450,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like The General Public. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like The General Public.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22The%20General%20Public%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Cicada Fund,cicada_fund,Roosevelt General Contractors,general,Houston,TX,+18327480596,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like Roosevelt General Contractors. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like Roosevelt General Contractors.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Roosevelt%20General%20Contractors%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Cicada Fund,cicada_fund,Mariscos El General,general,Pasadena,TX,+18322808221,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like Mariscos El General. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like Mariscos El General.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Mariscos%20El%20General%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Cicada Fund,cicada_fund,General Joe's Chopstix,general,Houston,TX,+17132661608,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like General Joe's Chopstix. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like General Joe's Chopstix.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22General%20Joe%27s%20Chopstix%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Cicada Fund,cicada_fund,Mola General Auto Detail,general,Houston,TX,+13467193425,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like Mola General Auto Detail. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like Mola General Auto Detail.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Mola%20General%20Auto%20Detail%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Cicada Fund,cicada_fund,Shape Up General Contractors,general,Houston,TX,+18324379908,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like Shape Up General Contractors. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like Shape Up General Contractors.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Shape%20Up%20General%20Contractors%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Cicada Fund,cicada_fund,Harris County General Store BBQ,general,Houston,TX,+17133736703,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like Harris County General Store BBQ. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like Harris County General Store BBQ.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Harris%20County%20General%20Store%20BBQ%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Cicada Fund,cicada_fund,Western General,general,Houston,TX,+17133330100,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like Western General. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like Western General.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Western%20General%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Cicada Fund,cicada_fund,Generations Barber Shop,general,Louisville,KY,+15024098655,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like Generations Barber Shop. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like Generations Barber Shop.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Generations%20Barber%20Shop%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Cicada Fund,cicada_fund,Kbp's General Labor & More,general,Louisville,KY,+15026582636,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like Kbp's General Labor & More. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like Kbp's General Labor & More.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Kbp%27s%20General%20Labor%20%26%20More%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Cicada Fund,cicada_fund,General Anesthesia Services,general,Louisville,KY,+15028977401,,,,,,,,,,,,"Hi there — I work with private equity buyers looking to acquire businesses like General Anesthesia Services. Happy to connect — no pressure, just exploring.","Hi there,

My name is Jordi Quevedo-Valls — I'm a business broker who works with serious, pre-qualified buyers looking to acquire businesses like General Anesthesia Services.

We currently have a buyer specifically interested in your sector and geography. They're capitalized, experienced, and ready to move on the right opportunity.

I wanted to reach out directly because the best deals we put together are never publicly listed — they come from conversations like this one.

Would you be open to a brief, confidential 15-minute call to see if there's any fit? No pressure, no obligation.

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22General%20Anesthesia%20Services%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
