buyer_name,buyer_id,company_name,industry,city,state,phone,company_domain,website,company_linkedin,employee_count,estimated_revenue,founded_year,description,owner_name,owner_title,owner_linkedin,owner_email,connection_request,inmail,linkedin_search_url,status,outreach_sent_date,seller_responded,seller_interested,response_notes,next_action,source,date_added
Sette Partners,sette_partners,Timothy Asher,healthcare,San Francisco,CA,+14159449297,,,,,,,,,,,,Hi there — I represent buyers acquiring healthcare businesses in CA. Would love to connect and explore if there's any fit.,"Hi there,

I'm Jordi Quevedo-Valls — I work with buyers specifically acquiring healthcare businesses in CA.

We have a well-capitalized buyer looking for practices and healthcare businesses with your profile. Even if selling isn't on your radar today, understanding your options and current market value is always valuable.

Would you be open to a quick 15-minute confidential call?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Timothy%20Asher%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Sette Partners,sette_partners,"Brian Secemsky, MD",healthcare,San Francisco,CA,+14155906275,,,,,,,,,,,,Hi there — I represent buyers acquiring healthcare businesses in CA. Would love to connect and explore if there's any fit.,"Hi there,

I'm Jordi Quevedo-Valls — I work with buyers specifically acquiring healthcare businesses in CA.

We have a well-capitalized buyer looking for practices and healthcare businesses with your profile. Even if selling isn't on your radar today, understanding your options and current market value is always valuable.

Would you be open to a quick 15-minute confidential call?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Brian%20Secemsky%2C%20MD%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Sette Partners,sette_partners,The Root & The Branch,healthcare,San Francisco,CA,+14154407668,,,,,,,,,,,,Hi there — I represent buyers acquiring healthcare businesses in CA. Would love to connect and explore if there's any fit.,"Hi there,

I'm Jordi Quevedo-Valls — I work with buyers specifically acquiring healthcare businesses in CA.

We have a well-capitalized buyer looking for practices and healthcare businesses with your profile. Even if selling isn't on your radar today, understanding your options and current market value is always valuable.

Would you be open to a quick 15-minute confidential call?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22The%20Root%20%26%20The%20Branch%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Sette Partners,sette_partners,Midpoint Sports Chiropractic,healthcare,San Francisco,CA,+14156215772,,,,,,,,,,,,Hi there — I represent buyers acquiring healthcare businesses in CA. Would love to connect and explore if there's any fit.,"Hi there,

I'm Jordi Quevedo-Valls — I work with buyers specifically acquiring healthcare businesses in CA.

We have a well-capitalized buyer looking for practices and healthcare businesses with your profile. Even if selling isn't on your radar today, understanding your options and current market value is always valuable.

Would you be open to a quick 15-minute confidential call?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Midpoint%20Sports%20Chiropractic%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Sette Partners,sette_partners,"Anuruddh Kumar Misra, MD",healthcare,San Francisco,CA,+17075093993,,,,,,,,,,,,Hi there — I represent buyers acquiring healthcare businesses in CA. Would love to connect and explore if there's any fit.,"Hi there,

I'm Jordi Quevedo-Valls — I work with buyers specifically acquiring healthcare businesses in CA.

We have a well-capitalized buyer looking for practices and healthcare businesses with your profile. Even if selling isn't on your radar today, understanding your options and current market value is always valuable.

Would you be open to a quick 15-minute confidential call?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Anuruddh%20Kumar%20Misra%2C%20MD%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Sette Partners,sette_partners,Premier Health Chiropractic,healthcare,San Francisco,CA,+14155239367,,,,,,,,,,,,Hi there — I represent buyers acquiring healthcare businesses in CA. Would love to connect and explore if there's any fit.,"Hi there,

I'm Jordi Quevedo-Valls — I work with buyers specifically acquiring healthcare businesses in CA.

We have a well-capitalized buyer looking for practices and healthcare businesses with your profile. Even if selling isn't on your radar today, understanding your options and current market value is always valuable.

Would you be open to a quick 15-minute confidential call?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Premier%20Health%20Chiropractic%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Sette Partners,sette_partners,George Haras Physical Therapy,healthcare,San Francisco,CA,+14158583391,,,,,,,,,,,,Hi there — I represent buyers acquiring healthcare businesses in CA. Would love to connect and explore if there's any fit.,"Hi there,

I'm Jordi Quevedo-Valls — I work with buyers specifically acquiring healthcare businesses in CA.

We have a well-capitalized buyer looking for practices and healthcare businesses with your profile. Even if selling isn't on your radar today, understanding your options and current market value is always valuable.

Would you be open to a quick 15-minute confidential call?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22George%20Haras%20Physical%20Therapy%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Sette Partners,sette_partners,SOMA Sport and Physio,healthcare,San Francisco,CA,+14152524333,,,,,,,,,,,,Hi there — I represent buyers acquiring healthcare businesses in CA. Would love to connect and explore if there's any fit.,"Hi there,

I'm Jordi Quevedo-Valls — I work with buyers specifically acquiring healthcare businesses in CA.

We have a well-capitalized buyer looking for practices and healthcare businesses with your profile. Even if selling isn't on your radar today, understanding your options and current market value is always valuable.

Would you be open to a quick 15-minute confidential call?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22SOMA%20Sport%20and%20Physio%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Sette Partners,sette_partners,"Avril Swan, MD",healthcare,San Francisco,CA,+14156420333,,,,,,,,,,,,Hi there — I represent buyers acquiring healthcare businesses in CA. Would love to connect and explore if there's any fit.,"Hi there,

I'm Jordi Quevedo-Valls — I work with buyers specifically acquiring healthcare businesses in CA.

We have a well-capitalized buyer looking for practices and healthcare businesses with your profile. Even if selling isn't on your radar today, understanding your options and current market value is always valuable.

Would you be open to a quick 15-minute confidential call?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Avril%20Swan%2C%20MD%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Sette Partners,sette_partners,GetzWell Personalized Pediatrics,healthcare,San Francisco,CA,+14158261701,,,,,,,,,,,,Hi there — I represent buyers acquiring healthcare businesses in CA. Would love to connect and explore if there's any fit.,"Hi there,

I'm Jordi Quevedo-Valls — I work with buyers specifically acquiring healthcare businesses in CA.

We have a well-capitalized buyer looking for practices and healthcare businesses with your profile. Even if selling isn't on your radar today, understanding your options and current market value is always valuable.

Would you be open to a quick 15-minute confidential call?

Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22GetzWell%20Personalized%20Pediatrics%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
