buyer_name,buyer_id,company_name,industry,city,state,phone,company_domain,website,company_linkedin,employee_count,estimated_revenue,founded_year,description,owner_name,owner_title,owner_linkedin,owner_email,connection_request,inmail,linkedin_search_url,status,outreach_sent_date,seller_responded,seller_interested,response_notes,next_action,source,date_added
Todd Ruff,todd_ruff,Morton Welding & Junk Removal,manufacturing,Detroit,MI,+12488818496,,,,,,,,,,,,Hi there — I work with private equity groups actively acquiring manufacturing businesses in MI. Would love to connect and share what we're seeing in the market.,"Hi there,

I hope this finds you well. My name is Jordi Quevedo-Valls — I'm a business broker who works exclusively with serious, pre-qualified buyers looking to acquire manufacturing businesses.

I came across Morton Welding & Junk Removal and I'm reaching out because we currently represent a buyer specifically looking for manufacturing operations in MI with your profile — they're capitalized, experienced, and ready to move.

I want to be upfront: I'm not here to pressure you into anything. A lot of business owners I connect with aren't actively looking to sell, but are open to understanding what their business is worth in today's market — especially with PE multiples where they are right now.

If you're at all curious about:
• What your business might be worth today
• What a sale/transition could look like
• Whether there's a buyer who'd be the right fit

I'd love to have a 15-minute confidential call.

Would you be open to a quick conversation this week?

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Morton%20Welding%20%26%20Junk%20Removal%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Todd Ruff,todd_ruff,Nest,manufacturing,Detroit,MI,+13138319776,,,,,,,,,,,,Hi there — I work with private equity groups actively acquiring manufacturing businesses in MI. Would love to connect and share what we're seeing in the market.,"Hi there,

I hope this finds you well. My name is Jordi Quevedo-Valls — I'm a business broker who works exclusively with serious, pre-qualified buyers looking to acquire manufacturing businesses.

I came across Nest and I'm reaching out because we currently represent a buyer specifically looking for manufacturing operations in MI with your profile — they're capitalized, experienced, and ready to move.

I want to be upfront: I'm not here to pressure you into anything. A lot of business owners I connect with aren't actively looking to sell, but are open to understanding what their business is worth in today's market — especially with PE multiples where they are right now.

If you're at all curious about:
• What your business might be worth today
• What a sale/transition could look like
• Whether there's a buyer who'd be the right fit

I'd love to have a 15-minute confidential call.

Would you be open to a quick conversation this week?

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Nest%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Todd Ruff,todd_ruff,EXT Enhancements Roofing and Siding,manufacturing,Brighton,MI,+15178850459,,,,,,,,,,,,Hi there — I work with private equity groups actively acquiring manufacturing businesses in MI. Would love to connect and share what we're seeing in the market.,"Hi there,

I hope this finds you well. My name is Jordi Quevedo-Valls — I'm a business broker who works exclusively with serious, pre-qualified buyers looking to acquire manufacturing businesses.

I came across EXT Enhancements Roofing and Siding and I'm reaching out because we currently represent a buyer specifically looking for manufacturing operations in MI with your profile — they're capitalized, experienced, and ready to move.

I want to be upfront: I'm not here to pressure you into anything. A lot of business owners I connect with aren't actively looking to sell, but are open to understanding what their business is worth in today's market — especially with PE multiples where they are right now.

If you're at all curious about:
• What your business might be worth today
• What a sale/transition could look like
• Whether there's a buyer who'd be the right fit

I'd love to have a 15-minute confidential call.

Would you be open to a quick conversation this week?

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22EXT%20Enhancements%20Roofing%20and%20Siding%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Todd Ruff,todd_ruff,Patio Plus Outdoor Furniture,manufacturing,Northville,MI,+12483476190,,,,,,,,,,,,Hi there — I work with private equity groups actively acquiring manufacturing businesses in MI. Would love to connect and share what we're seeing in the market.,"Hi there,

I hope this finds you well. My name is Jordi Quevedo-Valls — I'm a business broker who works exclusively with serious, pre-qualified buyers looking to acquire manufacturing businesses.

I came across Patio Plus Outdoor Furniture and I'm reaching out because we currently represent a buyer specifically looking for manufacturing operations in MI with your profile — they're capitalized, experienced, and ready to move.

I want to be upfront: I'm not here to pressure you into anything. A lot of business owners I connect with aren't actively looking to sell, but are open to understanding what their business is worth in today's market — especially with PE multiples where they are right now.

If you're at all curious about:
• What your business might be worth today
• What a sale/transition could look like
• Whether there's a buyer who'd be the right fit

I'd love to have a 15-minute confidential call.

Would you be open to a quick conversation this week?

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Patio%20Plus%20Outdoor%20Furniture%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Todd Ruff,todd_ruff,City Bird,manufacturing,Detroit,MI,+13138319146,,,,,,,,,,,,Hi there — I work with private equity groups actively acquiring manufacturing businesses in MI. Would love to connect and share what we're seeing in the market.,"Hi there,

I hope this finds you well. My name is Jordi Quevedo-Valls — I'm a business broker who works exclusively with serious, pre-qualified buyers looking to acquire manufacturing businesses.

I came across City Bird and I'm reaching out because we currently represent a buyer specifically looking for manufacturing operations in MI with your profile — they're capitalized, experienced, and ready to move.

I want to be upfront: I'm not here to pressure you into anything. A lot of business owners I connect with aren't actively looking to sell, but are open to understanding what their business is worth in today's market — especially with PE multiples where they are right now.

If you're at all curious about:
• What your business might be worth today
• What a sale/transition could look like
• Whether there's a buyer who'd be the right fit

I'd love to have a 15-minute confidential call.

Would you be open to a quick conversation this week?

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22City%20Bird%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Todd Ruff,todd_ruff,CK Mechanical,manufacturing,Windsor,ON,+15199672585,,,,,,,,,,,,Hi there — I work with private equity groups actively acquiring manufacturing businesses in ON. Would love to connect and share what we're seeing in the market.,"Hi there,

I hope this finds you well. My name is Jordi Quevedo-Valls — I'm a business broker who works exclusively with serious, pre-qualified buyers looking to acquire manufacturing businesses.

I came across CK Mechanical and I'm reaching out because we currently represent a buyer specifically looking for manufacturing operations in ON with your profile — they're capitalized, experienced, and ready to move.

I want to be upfront: I'm not here to pressure you into anything. A lot of business owners I connect with aren't actively looking to sell, but are open to understanding what their business is worth in today's market — especially with PE multiples where they are right now.

If you're at all curious about:
• What your business might be worth today
• What a sale/transition could look like
• Whether there's a buyer who'd be the right fit

I'd love to have a 15-minute confidential call.

Would you be open to a quick conversation this week?

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22CK%20Mechanical%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Todd Ruff,todd_ruff,Detroit Training Center,manufacturing,Detroit,MI,+13132215876,,,,,,,,,,,,Hi there — I work with private equity groups actively acquiring manufacturing businesses in MI. Would love to connect and share what we're seeing in the market.,"Hi there,

I hope this finds you well. My name is Jordi Quevedo-Valls — I'm a business broker who works exclusively with serious, pre-qualified buyers looking to acquire manufacturing businesses.

I came across Detroit Training Center and I'm reaching out because we currently represent a buyer specifically looking for manufacturing operations in MI with your profile — they're capitalized, experienced, and ready to move.

I want to be upfront: I'm not here to pressure you into anything. A lot of business owners I connect with aren't actively looking to sell, but are open to understanding what their business is worth in today's market — especially with PE multiples where they are right now.

If you're at all curious about:
• What your business might be worth today
• What a sale/transition could look like
• Whether there's a buyer who'd be the right fit

I'd love to have a 15-minute confidential call.

Would you be open to a quick conversation this week?

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Detroit%20Training%20Center%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Todd Ruff,todd_ruff,Fire Defense Equipment Company,manufacturing,Royal Oak,MI,+12485498113,,,,,,,,,,,,Hi there — I work with private equity groups actively acquiring manufacturing businesses in MI. Would love to connect and share what we're seeing in the market.,"Hi there,

I hope this finds you well. My name is Jordi Quevedo-Valls — I'm a business broker who works exclusively with serious, pre-qualified buyers looking to acquire manufacturing businesses.

I came across Fire Defense Equipment Company and I'm reaching out because we currently represent a buyer specifically looking for manufacturing operations in MI with your profile — they're capitalized, experienced, and ready to move.

I want to be upfront: I'm not here to pressure you into anything. A lot of business owners I connect with aren't actively looking to sell, but are open to understanding what their business is worth in today's market — especially with PE multiples where they are right now.

If you're at all curious about:
• What your business might be worth today
• What a sale/transition could look like
• Whether there's a buyer who'd be the right fit

I'd love to have a 15-minute confidential call.

Would you be open to a quick conversation this week?

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Fire%20Defense%20Equipment%20Company%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Todd Ruff,todd_ruff,Four Way Industries,manufacturing,Clawson,MI,+12485885421,,,,,,,,,,,,Hi there — I work with private equity groups actively acquiring manufacturing businesses in MI. Would love to connect and share what we're seeing in the market.,"Hi there,

I hope this finds you well. My name is Jordi Quevedo-Valls — I'm a business broker who works exclusively with serious, pre-qualified buyers looking to acquire manufacturing businesses.

I came across Four Way Industries and I'm reaching out because we currently represent a buyer specifically looking for manufacturing operations in MI with your profile — they're capitalized, experienced, and ready to move.

I want to be upfront: I'm not here to pressure you into anything. A lot of business owners I connect with aren't actively looking to sell, but are open to understanding what their business is worth in today's market — especially with PE multiples where they are right now.

If you're at all curious about:
• What your business might be worth today
• What a sale/transition could look like
• Whether there's a buyer who'd be the right fit

I'd love to have a 15-minute confidential call.

Would you be open to a quick conversation this week?

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Four%20Way%20Industries%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
Todd Ruff,todd_ruff,Leather Unlimited,manufacturing,Detroit,MI,+13139640051,,,,,,,,,,,,Hi there — I work with private equity groups actively acquiring manufacturing businesses in MI. Would love to connect and share what we're seeing in the market.,"Hi there,

I hope this finds you well. My name is Jordi Quevedo-Valls — I'm a business broker who works exclusively with serious, pre-qualified buyers looking to acquire manufacturing businesses.

I came across Leather Unlimited and I'm reaching out because we currently represent a buyer specifically looking for manufacturing operations in MI with your profile — they're capitalized, experienced, and ready to move.

I want to be upfront: I'm not here to pressure you into anything. A lot of business owners I connect with aren't actively looking to sell, but are open to understanding what their business is worth in today's market — especially with PE multiples where they are right now.

If you're at all curious about:
• What your business might be worth today
• What a sale/transition could look like
• Whether there's a buyer who'd be the right fit

I'd love to have a 15-minute confidential call.

Would you be open to a quick conversation this week?

Best,
Jordi Quevedo-Valls
Valar Brokers",https://www.linkedin.com/search/results/people/?keywords=%22Leather%20Unlimited%22%20owner%20OR%20founder%20OR%20CEO%20OR%20president,new,,No,Unknown,,,yelp,2026-03-04
